SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB972	kSGB	k__Bacteria-p__Actinobacteria-c__Coriobacteriia-o__Coriobacteriales-f__Atopobiaceae-g__Atopobium-s__Atopobium_parvulum-t__SGB972	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium_parvulum	SGB972
SGB9728	uSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Pasteurellales-f__Pasteurellaceae-g__GGB6814-s__GGB6814_SGB9728-t__SGB9728	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	GGB6814	GGB6814_SGB9728	SGB9728
SGB9731	kSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Pasteurellales-f__Pasteurellaceae-g__Aggregatibacter-s__Aggregatibacter_aphrophilus-t__SGB9731	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter_aphrophilus	SGB9731
SGB9733	kSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Pasteurellales-f__Pasteurellaceae-g__Aggregatibacter-s__Aggregatibacter_sp_oral_taxon_458-t__SGB9733	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter_sp_oral_taxon_458	SGB9733
SGB985	kSGB	k__Bacteria-p__Actinobacteria-c__Coriobacteriia-o__Coriobacteriales-f__Atopobiaceae-g__Atopobium-s__Atopobium_rimae-t__SGB985	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium_rimae	SGB985
SGB1458_group	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_conceptionensis-t__SGB1458	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_conceptionensis	SGB1458
SGB1458_group	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_SGB1459-t__SGB1459	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_SGB1459	SGB1459
SGB16975_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Micrococcales-f__Micrococcaceae-g__Rothia-s__Rothia_mucilaginosa-t__SGB16975	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_mucilaginosa	SGB16975
SGB16975_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Micrococcales-f__Micrococcaceae-g__Rothia-s__Rothia_sp_HMSC061E04-t__SGB16974	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_sp_HMSC061E04	SGB16974
SGB17132_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_sp_S6_Spd3-t__SGB17132	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_S6_Spd3	SGB17132
SGB17132_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_marseillensis-t__SGB17133	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_marseillensis	SGB17133
